"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1509","My second test","firefox","Mon Sep 01 01:23:25 EDT 2025","passed","Mon Sep 01 01:23:26 EDT 2025","","sample.spec.ts","",""
"","6430","Login with valid credentials","chromium","Mon Sep 01 01:54:26 EDT 2025","failed","Mon Sep 01 01:54:33 EDT 2025","","login.spec.ts","",""
"","19114","Add two products to cart and verify count","chromium","Mon Sep 01 01:54:24 EDT 2025","failed","Mon Sep 01 01:54:43 EDT 2025","","cart.spec.ts","",""
"","2376","Sort products by Price Low to High","webkit","Mon Sep 01 01:23:40 EDT 2025","passed","Mon Sep 01 01:23:42 EDT 2025","","sorting.spec.ts","",""
"","8843","has title","firefox","Mon Sep 01 01:23:15 EDT 2025","passed","Mon Sep 01 01:23:23 EDT 2025","","example.spec.ts","",""
"","248","My First Test","chromium","Mon Sep 01 01:54:26 EDT 2025","passed","Mon Sep 01 01:54:27 EDT 2025","","sample.spec.ts","",""
"","866","My First Test","webkit","Mon Sep 01 01:23:39 EDT 2025","passed","Mon Sep 01 01:23:40 EDT 2025","","sample.spec.ts","",""
"","3365","has title","webkit","Mon Sep 01 01:23:32 EDT 2025","passed","Mon Sep 01 01:23:36 EDT 2025","","example.spec.ts","",""
"","264","My third test","chromium","Mon Sep 01 01:54:27 EDT 2025","passed","Mon Sep 01 01:54:27 EDT 2025","","sample.spec.ts","",""
"","7777","Add two products to cart and verify count","firefox","Mon Sep 01 01:54:35 EDT 2025","failed","Mon Sep 01 01:54:42 EDT 2025","","cart.spec.ts","",""
"","823","My third test","webkit","Mon Sep 01 01:23:40 EDT 2025","passed","Mon Sep 01 01:23:40 EDT 2025","","sample.spec.ts","",""
"","7815","Complete checkout flow","firefox","Mon Sep 01 01:23:14 EDT 2025","passed","Mon Sep 01 01:23:22 EDT 2025","","checkout.spec.ts","",""
"","5291","Add two products to cart and verify count","webkit","Mon Sep 01 01:23:33 EDT 2025","passed","Mon Sep 01 01:23:38 EDT 2025","","cart.spec.ts","",""
"","2220","has title","chromium","Mon Sep 01 01:54:24 EDT 2025","passed","Mon Sep 01 01:54:26 EDT 2025","","example.spec.ts","",""
"","16024","Sort products by Price Low to High","chromium","Mon Sep 01 01:54:27 EDT 2025","failed","Mon Sep 01 01:54:43 EDT 2025","","sorting.spec.ts","",""
"","5138","get started link","webkit","Mon Sep 01 01:23:33 EDT 2025","passed","Mon Sep 01 01:23:38 EDT 2025","","example.spec.ts","",""
"","7494","Complete checkout flow","webkit","Mon Sep 01 01:23:32 EDT 2025","passed","Mon Sep 01 01:23:40 EDT 2025","","checkout.spec.ts","",""
"","2577","Sort products by Price Low to High","firefox","Mon Sep 01 01:23:28 EDT 2025","passed","Mon Sep 01 01:23:30 EDT 2025","","sorting.spec.ts","",""
"","602","My First Test","firefox","Mon Sep 01 01:23:23 EDT 2025","passed","Mon Sep 01 01:23:24 EDT 2025","","sample.spec.ts","",""
"","1910","My third test","firefox","Mon Sep 01 01:23:26 EDT 2025","passed","Mon Sep 01 01:23:28 EDT 2025","","sample.spec.ts","",""
"","19222","Complete checkout flow","chromium","Mon Sep 01 01:54:24 EDT 2025","failed","Mon Sep 01 01:54:43 EDT 2025","","checkout.spec.ts","",""
"","2174","Login with valid credentials","firefox","Mon Sep 01 01:23:21 EDT 2025","passed","Mon Sep 01 01:23:23 EDT 2025","","login.spec.ts","",""
"","3426","Login with valid credentials","webkit","Mon Sep 01 01:23:37 EDT 2025","passed","Mon Sep 01 01:23:40 EDT 2025","","login.spec.ts","",""
"","10783","get started link","firefox","Mon Sep 01 01:23:15 EDT 2025","passed","Mon Sep 01 01:23:26 EDT 2025","","example.spec.ts","",""
"","2268","get started link","chromium","Mon Sep 01 01:54:24 EDT 2025","passed","Mon Sep 01 01:54:26 EDT 2025","","example.spec.ts","",""
"","825","My second test","webkit","Mon Sep 01 01:23:39 EDT 2025","passed","Mon Sep 01 01:23:40 EDT 2025","","sample.spec.ts","",""
"","221","My second test","chromium","Mon Sep 01 01:54:27 EDT 2025","passed","Mon Sep 01 01:54:27 EDT 2025","","sample.spec.ts","",""
